Date,TOTALDEMAND,PRICECATEGORY,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa),Month,Weekday,Weekend
2021-07-28,7125.58,HIGH,11.1,16.8,0.0,5.4,4.7,337.5,50.0,328.0,14.3,70.0,6,0.0,13,998.2,12.0,65,7.0,292.5,11,998.4,7,2,False
2021-07-29,6990.16,EXTREME,6.7,15.4,0.8,3.4,7.8,337.5,41.0,881.0,8.7,67.0,6,337.5,19,1013.5,14.9,52,1.0,337.5,17,1013.5,7,3,False
2021-07-30,6684.48,HIGH,8.0,14.9,0.0,2.6,6.4,0.0,61.0,1352.0,9.9,59.0,1,22.5,19,1015.1,13.6,49,7.0,0.0,26,1011.0,7,4,False
2021-07-31,6018.75,HIGH,9.9,18.1,0.0,7.0,6.3,0.0,54.0,83.0,13.1,54.0,1,0.0,20,1006.1,17.1,48,6.0,0.0,22,1002.0,7,5,False
2021-08-01,6526.06,EXTREME,8.0,15.7,18.0,6.8,9.0,337.5,30.0,728.0,11.1,72.0,1,315.0,9,1010.6,14.6,42,3.0,270.0,9,1011.5,8,6,True
2021-08-02,6914.27,MEDIUM,6.5,15.4,0.0,2.8,9.1,0.0,50.0,825.0,10.2,67.0,1,22.5,15,1016.2,15.2,43,3.0,337.5,24,1011.5,8,0,True
2021-08-03,7197.61,MEDIUM,8.7,14.5,4.8,2.6,4.1,337.5,35.0,743.0,10.6,77.0,2,0.0,9,1008.1,13.3,53,6.0,292.5,15,1007.7,8,1,False
2021-08-04,6831.32,HIGH,7.8,14.5,0.6,1.8,3.4,247.5,31.0,729.0,10.2,78.0,7,270.0,11,1016.0,14.3,67,7.0,270.0,9,1015.5,8,2,False
2021-08-05,6416.19,MEDIUM,9.8,15.8,0.4,1.6,3.9,292.5,31.0,889.0,11.8,80.0,7,292.5,11,1021.7,15.2,63,7.0,270.0,15,1020.1,8,3,False
2021-08-06,6650.37,HIGH,10.7,14.2,0.2,2.2,0.6,337.5,28.0,1222.0,12.1,74.0,7,292.5,9,1024.5,13.9,60,8.0,315.0,13,1023.1,8,4,False
2021-08-07,6419.69,EXTREME,10.5,15.5,0.0,1.6,2.4,315.0,30.0,370.0,11.2,75.0,7,315.0,11,1026.9,13.2,75,7.0,202.5,11,1026.4,8,5,False
2021-08-08,6477.76,EXTREME,5.8,16.4,0.6,1.2,5.5,0.0,17.0,531.0,7.2,100.0,1,0.0,11,1032.6,14.6,58,7.0,180.0,6,1029.3,8,6,True
2021-08-09,6675.69,HIGH,7.1,16.4,0.0,2.8,2.7,0.0,30.0,836.0,9.1,82.0,7,22.5,9,1028.1,15.1,60,6.0,337.5,19,1023.3,8,0,True
2021-08-10,6234.67,HIGH,9.1,17.7,0.0,2.4,8.1,0.0,52.0,671.0,12.4,77.0,6,0.0,19,1022.4,17.5,45,6.0,0.0,24,1017.9,8,1,False
2021-08-11,6687.69,MEDIUM,12.4,19.2,0.0,7.0,3.6,337.5,54.0,824.0,14.4,47.0,5,0.0,28,1012.2,16.7,44,8.0,292.5,17,1009.8,8,2,False
2021-08-12,6537.7,HIGH,8.1,16.6,2.8,4.4,4.7,337.5,31.0,624.0,10.6,71.0,7,0.0,11,1025.2,15.4,50,7.0,270.0,13,1024.3,8,3,False
2021-08-13,6300.74,MEDIUM,8.1,17.6,0.0,1.2,10.1,315.0,33.0,784.0,11.8,73.0,1,0.0,15,1026.9,17.1,44,3.0,270.0,9,1025.1,8,4,False
2021-08-14,6049.06,HIGH,6.9,18.4,0.0,3.4,7.8,337.5,31.0,901.0,10.9,78.0,1,0.0,11,1028.7,17.3,41,6.0,292.5,13,1025.1,8,5,False
2021-08-15,5661.48,MEDIUM,10.1,19.0,0.0,3.0,9.1,337.5,54.0,787.0,12.1,63.0,3,0.0,17,1024.1,18.3,31,2.0,270.0,22,1019.2,8,6,True
2021-08-16,6595.54,MEDIUM,11.0,14.4,0.2,6.6,2.8,292.5,44.0,765.0,12.2,70.0,7,292.5,13,1022.8,14.2,62,7.0,247.5,17,1022.8,8,0,True
2021-08-17,6849.04,EXTREME,9.8,13.9,0.4,2.0,3.3,202.5,30.0,673.0,11.0,87.0,7,270.0,9,1025.5,12.7,79,7.0,180.0,15,1024.8,8,1,False
2021-08-18,6788.59,EXTREME,7.6,15.5,0.6,1.8,1.8,0.0,24.0,881.0,10.4,82.0,7,315.0,9,1026.0,15.1,53,7.0,0.0,13,1021.9,8,2,False
2021-08-19,6344.8,HIGH,8.2,17.4,0.0,2.6,8.3,0.0,31.0,918.0,11.6,72.0,5,0.0,13,1023.3,16.7,50,2.0,0.0,17,1019.3,8,3,False
2021-08-20,6331.48,MEDIUM,8.7,17.3,0.8,3.6,3.2,0.0,50.0,867.0,11.3,80.0,6,22.5,11,1016.7,16.7,51,3.0,0.0,28,1012.1,8,4,False
2021-08-21,5705.47,MEDIUM,10.6,20.0,1.0,3.6,10.2,315.0,33.0,684.0,13.9,64.0,0,337.5,13,1015.3,18.9,44,4.0,315.0,13,1013.8,8,5,False
2021-08-22,5325.33,MEDIUM,11.3,22.2,0.0,4.0,10.6,0.0,57.0,894.0,14.6,62.0,1,0.0,20,1014.5,21.6,37,1.0,337.5,37,1007.8,8,6,True
2021-08-23,6708.96,HIGH,10.8,14.3,0.8,7.0,5.4,315.0,50.0,12.0,11.2,67.0,3,247.5,11,1011.1,11.7,54,5.0,247.5,9,1012.2,8,0,True
2021-08-24,6717.65,HIGH,6.4,13.1,10.4,4.0,6.2,180.0,39.0,578.0,10.8,53.0,7,157.5,17,1021.5,11.7,55,6.0,180.0,17,1021.6,8,1,False
2021-08-25,6736.8,EXTREME,8.0,14.1,2.2,1.2,5.4,180.0,37.0,986.0,12.1,73.0,3,157.5,15,1023.3,13.4,59,6.0,202.5,17,1021.8,8,2,False
2021-08-26,7126.76,EXTREME,5.5,12.9,1.2,2.4,1.0,135.0,31.0,774.0,9.2,82.0,7,-1.0,0,1022.7,12.2,55,7.0,157.5,13,1020.3,8,3,False
2021-08-27,6769.89,EXTREME,4.6,13.6,0.0,1.2,3.8,202.5,15.0,738.0,7.7,88.0,7,-1.0,0,1020.0,12.8,65,7.0,157.5,7,1017.4,8,4,False
2021-08-28,5716.32,MEDIUM,5.3,17.8,0.0,1.6,9.6,0.0,39.0,794.0,9.1,80.0,1,0.0,7,1018.6,17.4,31,3.0,337.5,24,1013.5,8,5,False
2021-08-29,6227.89,EXTREME,9.1,16.2,0.6,6.4,4.3,22.5,33.0,110.0,10.6,79.0,7,0.0,13,1011.4,12.8,84,7.0,180.0,6,1010.4,8,6,True
2021-08-30,6072.91,HIGH,6.4,17.6,4.0,1.4,7.4,337.5,50.0,844.0,11.1,70.0,7,0.0,15,1016.1,16.8,45,1.0,337.5,28,1013.2,8,0,True
